Criterion,Max Depth,Accuracy,Precision,Recall,F1
gini,3,0.89,0.94,0.88,0.91
gini,4,0.90,0.93,0.91,0.92
gini,5,0.91,0.94,0.91,0.93
gini,6,0.89,0.95,0.87,0.91
gini,7,0.89,0.95,0.87,0.91
gini,8,0.88,0.94,0.87,0.90
gini,9,0.90,0.95,0.88,0.91
gini,10,0.89,0.94,0.88,0.91
gini,11,0.88,0.94,0.87,0.90
gini,12,0.89,0.94,0.88,0.91
entropy,3,0.88,0.93,0.88,0.90
entropy,4,0.87,0.92,0.88,0.90
entropy,5,0.90,0.93,0.91,0.92
entropy,6,0.90,0.93,0.90,0.92
entropy,7,0.92,0.94,0.92,0.93
entropy,8,0.90,0.94,0.90,0.92
entropy,9,0.91,0.93,0.92,0.93
entropy,10,0.88,0.93,0.88,0.90
entropy,11,0.91,0.94,0.91,0.93
entropy,12,0.91,0.93,0.92,0.93